name,company,year,Price,kms_driven,fuel_type
Allion,Toyota,2018,9300000,8000,Petrol
Allion,Toyota,2018,9890000,9875,Petrol
Allion,Toyota,2018,9850000,10907,Petrol
Allion,Toyota,2008,4885000,13000,Petrol
Allion,Toyota,2017,8000000,22300,Petrol
Allion,Toyota,2016,7675000,26000,Petrol
Allion,Toyota,2016,7900000,27000,Petrol
Allion,Toyota,2016,7000000,31000,Petrol
Allion,Toyota,2016,11000000,34000,Petrol
Allion,Toyota,2017,"13,000,000",41000,Petrol
Allion,Toyota,2018,14500000,47000,Petrol
Allion,Toyota,2016,11500000,47000,Petrol
Allion,Toyota,2016,11500000,49000,Petrol
Allion,Toyota,2014,9700000,54000,Petrol
Allion,Toyota,2016,11500000,56000,Petrol
Allion,Toyota,2013,11250000,60000,Petrol
Allion,Toyota,2013,11250000,71000,Petrol
Allion,Toyota,2013,11250000,71500,Petrol
Allion,Toyota,2013,11250000,75000,Petrol
Allion,Toyota,2011,8250000,76501,Petrol
Allion,Toyota,2010,8100000,85000,Petrol
Allion,Toyota,2013,8800000,85000,Petrol
Allion,Toyota,2010,8100000,86000,Petrol
Allion,Toyota,2010,8100000,86000,Petrol
Allion,Toyota,2013,8800000,87000,Petrol
Allion,Toyota,2010,8250000,89000,Petrol
Allion,Toyota,2008,7950000,90000,Petrol
Allion,Toyota,2010,8250000,90000,Petrol
Allion,Toyota,2011,9500000,90080,Petrol
Allion,Toyota,2010,7350000,92000,Petrol
Allion,Toyota,2010,7350000,92700,Petrol
Allion,Toyota,2009,7100000,93000,Petrol
Allion,Toyota,2009,7100000,96000,Petrol
Allion,Toyota,2007,7300000,97000,Petrol
Allion,Toyota,2010,7290000,97000,Petrol
Allion,Toyota,2008,7250000,97000,Petrol
Allion,Toyota,2010,8400000,97000,Petrol
Allion,Toyota,2007,7500000,100000,Petrol
Allion,Toyota,2010,8400000,100000,Petrol
Allion,Toyota,2013,9500000,102000,Petrol
Allion,Toyota,2012,9100000,102000,Petrol
Allion,Toyota,2010,7290000,104000,Petrol
Allion,Toyota,2010,7290000,105000,Petrol
Allion,Toyota,2012,8250000,106000,Petrol
Allion,Toyota,2007,7300000,106000,Petrol
Allion,Toyota,2006,6100000,107000,Petrol
Allion,Toyota,2007,7500000,109000,Petrol
Allion,Toyota,2008,8600000,110000,Petrol
Allion,Toyota,2008,8600000,110000,Petrol
Allion,Toyota,2007,7650000,112000,Petrol
Allion,Toyota,2007,7650000,112000,Petrol
Allion,Toyota,2007,7650000,112000,Petrol
Allion,Toyota,2010,7750000,112000,Petrol
Allion,Toyota,2010,7750000,112500,Petrol
Allion,Toyota,2009,7500000,113000,Petrol
Allion,Toyota,2008,6950000,115000,Petrol
Allion,Toyota,2004,5575000,116000,Petrol
Allion,Toyota,2003,5275000,117000,Petrol
Allion,Toyota,2007,7225000,117000,Petrol
Allion,Toyota,2007,7225000,117000,Petrol
Allion,Toyota,2007,7225000,117000,Petrol
Allion,Toyota,2002,5150000,118000,Petrol
Allion,Toyota,2003,5275000,120000,Petrol
Allion,Toyota,2004,5850000,120000,Petrol
Allion,Toyota,2002,5150000,120000,Petrol
Allion,Toyota,2003,5275000,120000,Petrol
Allion,Toyota,2003,5275000,120000,Petrol
Allion,Toyota,2007,7225000,120000,Petrol
Allion,Toyota,2007,7225000,120000,Petrol
Allion,Toyota,2007,7225000,120000,Petrol
Allion,Toyota,2001,4900000,121000,Petrol
Allion,Toyota,2001,4900000,121000,Petrol
Allion,Toyota,2004,6100000,124000,Petrol
Allion,Toyota,2005,5900000,124000,Petrol
Allion,Toyota,2009,8225000,124000,Petrol
Allion,Toyota,2004,6100000,125000,Petrol
Allion,Toyota,2010,7950000,126000,Petrol
Allion,Toyota,2004,6400000,128000,Petrol
Allion,Toyota,2008,7800000,130000,Petrol
Allion,Toyota,2008,7800000,130000,Petrol
Allion,Toyota,2004,6200000,133000,Petrol
Allion,Toyota,2003,6200000,135000,Petrol
Allion,Toyota,2011,9000000,137000,Petrol
Allion,Toyota,2002,4500000,138000,Petrol
Allion ,Toyota,2006,6100000,92000,Petrol
Allion 240,Toyota,2004,5150000,92000,Petrol
Allion 240,Toyota,2003,5150000,95000,Petrol
Allion 240,Toyota,2006,6200000,96000,Petrol
Allion 240,Toyota,2005,6500000,99000,Petrol
Allion 240,Toyota,2006,6300000,102000,Petrol
Allion 240,Toyota,2004,5800000,102500,Petrol
Allion 240,Toyota,2002,5500000,107960,Petrol
Allion 240,Toyota,2003,5500000,115000,Petrol
Allion 240,Toyota,2003,5500000,115000,Petrol
Allion 240,Toyota,2003,5500000,120000,Petrol
Allion 240,Toyota,2003,5500000,120000,Petrol
Allion 240,Toyota,2004,5850000,121000,Petrol
Allion 240,Toyota,2003,5500000,122600,Petrol
Allion 240,Toyota,2005,6000000,124000,Petrol
Allion 240,Toyota,2005,6000000,124000,Petrol
Allion 240,Toyota,2003,5200000,127000,Petrol
Allion 240,Toyota,2003,5200000,127000,Petrol
Allion 240,Toyota,2006,5500000,127000,Petrol
Allion 240,Toyota,2005,5350000,128000,Petrol
Allion 240,Toyota,2002,5100000,132000,Petrol
Allion 240,Toyota,2003,5500000,135000,Petrol
Allion 240,Toyota,2003,5500000,135000,Petrol
Allion 240,Toyota,2007,8200000,135000,Petrol
Allion 240,Toyota,2002,4900000,138000,Petrol
Allion 240,Toyota,2007,6900000,143000,Petrol
Allion 260,Toyota,2007,7100000,123000,Petrol
Allion 260,Toyota,2009,7350000,124500,Petrol
Allion 260,Toyota,2010,7390000,125000,Petrol
Allion 260,Toyota,2010,7390000,125000,Petrol
Allion 260,Toyota,2012,9200000,127000,Petrol
