make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
Toyota,Yaris,2020,Automatic,Petrol,1300,500,7200000
Toyota,Premio G Superior,2019,Automatic,Petrol,1500,500,11800000
Toyota,Premio,2019,Automatic,Petrol,1500,610,11500000
Toyota,Vitz,2019,Automatic,Petrol,1000,1000,5790000
Toyota,Allion ,2018,Automatic,Petrol,1500,1000,9975000
Toyota,Premio F EX G Superior,2020,Automatic,Petrol,1500,1000,13500000
Toyota,Axio,2019,Automatic,Hybrid,1500,1200,8350000
Toyota,Vitz,2020,Automatic,Petrol,1000,1300,6000000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,1611,5675000
Toyota,Premio,2019,Automatic,Petrol,1500,1900,11275000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,2000,4825000
Toyota,Premio G Superior,2019,Automatic,Petrol,1500,2000,12150000
Toyota,Yaris,2020,Automatic,Petrol,1300,2200,6850000
Toyota,Premio,2019,Automatic,Petrol,1500,2200,12090000
Toyota,Vitz,2018,Automatic,Petrol,1000,2300,5260000
Toyota,Premio G Superior,2020,Automatic,Petrol,1500,2300,11950000
Toyota,Premio,2019,Automatic,Petrol,1500,2400,11550000
Toyota,Premio F EX G Superior,2019,Automatic,Petrol,1500,2500,11950000
Toyota,Vitz,2019,Automatic,Petrol,1000,2700,5950000
Toyota,Passo XL,2017,Automatic,Petrol,1000,3000,4350000
Toyota,Roomy,2019,Automatic,Petrol,1000,3000,5750000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,3000,5750000
Toyota,Vitz,2018,Automatic,Petrol,1000,3000,5875000
Toyota,Premio,2020,Automatic,Petrol,1500,3000,12500000
Toyota,Premio G Superior,2019,Automatic,Petrol,1500,3100,11650000
Toyota,Vitz,2018,Automatic,Petrol,1000,3165,5750000
Toyota,Vitz,2018,Automatic,Petrol,1000,3200,5450000
Toyota,Vitz,2019,Automatic,Petrol,1000,3220,5975000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,3450,10850000
Toyota,Vitz,2019,Automatic,Petrol,1000,3500,5900000
Toyota,Vitz Edition 3,2020,Automatic,Petrol,1000,3700,6290000
Toyota,Axio,2018,Automatic,Hybrid,1500,3751,7300000
Toyota,Vitz Edition 2,2018,Automatic,Petrol,1000,4000,5700000
Toyota,Vitz,2019,Automatic,Petrol,1000,4000,5800000
Toyota,Vitz,2019,Automatic,Petrol,1000,4000,5925000
Toyota,Vitz,2019,Automatic,Petrol,1000,4000,5975000
Toyota,Axio WXB,2018,Automatic,Hybrid,1500,4500,7900000
Toyota,Axio WXB,2019,Automatic,Hybrid,1500,4500,8085000
Toyota,Vitz,2018,Automatic,Petrol,1000,4780,5175000
Toyota,Vitz,2018,Automatic,Petrol,1000,4800,5300000
Toyota,Premio,2019,Automatic,Petrol,1500,4846,11000000
Toyota,Vitz,2018,Automatic,Petrol,1000,4900,5375000
Toyota,Vitz,2018,Automatic,Petrol,1000,5000,5890000
Toyota,Vitz,2019,Automatic,Petrol,1000,5000,5925000
Toyota,Vitz,2019,Automatic,Petrol,1000,5000,6050000
Toyota,Premio,2017,Automatic,Petrol,1500,5000,9750000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,5000,10600000
Toyota,Vitz,2018,Automatic,Petrol,1000,5100,5550000
Toyota,Vitz,2018,Automatic,Petrol,1000,5200,5350000
Toyota,Tank,2018,Automatic,Petrol,1000,5300,5225000
Toyota,Aqua,2015,Automatic,Hybrid,1500,5800,4350000
Toyota,Axio WXB,2018,Automatic,Hybrid,1500,5850,7690000
Toyota,Wigo,2018,Automatic,Petrol,1000,5856,4275000
Toyota,Prius,2015,Automatic,Hybrid,1800,6000,6100000
Toyota,Premio,2018,Automatic,Petrol,1500,6000,8750000
Toyota,Vitz,2018,Automatic,Petrol,1000,6300,5390000
Toyota,Premio G Superior,2019,Automatic,Petrol,1500,6500,12500000
Toyota,Roomy,2017,Automatic,Petrol,1000,6940,5225000
Toyota,Premio,2019,Automatic,Petrol,1500,6950,12050000
Toyota,Vitz F,2018,Automatic,Petrol,1000,7000,4995000
Toyota,Vitz Edition 2,2018,Automatic,Petrol,1000,7000,5375000
Toyota,Vitz Jewella,2017,Automatic,Petrol,1000,7018,4125000
Toyota,Roomy,2018,Automatic,Petrol,1000,7200,5300000
Toyota,Wigo,2018,Automatic,Petrol,1000,7500,4025000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,7500,10800000
Toyota,Premio,2018,Automatic,Petrol,1500,7800,10700000
Toyota,Premio F EX G Superior,2018,Automatic,Petrol,1500,7800,11175000
Toyota,Aqua G Grade,2015,Automatic,Hybrid,1500,7900,3750000
Toyota,Premio,2018,Automatic,Petrol,1500,7903,10600000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,8000,4625000
Toyota,Vitz,2017,Automatic,Petrol,1000,8000,4750000
Toyota,Axio WXB,2017,Automatic,Hybrid,1500,8000,7850000
Toyota,Allion,2018,Automatic,Petrol,1500,8000,9300000
Toyota,Vitz,2019,Automatic,Petrol,1000,8200,5890000
Toyota,Premio G Superior,2017,Automatic,Petrol,1500,8200,9100000
Toyota,Premio,2019,Automatic,Petrol,1500,8500,11300000
Toyota,Vitz,2018,Automatic,Petrol,1000,9000,5875000
Toyota,Vitz,2019,Automatic,Petrol,1000,9000,5890000
Toyota,Aqua X Urban,2015,Automatic,Hybrid,1500,9000,6500000
Toyota,Axio,2017,Automatic,Hybrid,1500,9000,6785000
Toyota,Premio,2018,Automatic,Petrol,1500,9000,8835000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,9000,10500000
Toyota,Premio,2019,Automatic,Petrol,1500,9000,11500000
Toyota,Allion,2018,Automatic,Petrol,1500,9185,9775000
Toyota,Vitz,2018,Automatic,Petrol,1000,9300,5375000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,9800,5590000
Toyota,Allion,2018,Automatic,Petrol,1500,9875,9890000
Toyota,Passo XL,2017,Automatic,Petrol,1000,10000,4375000
Toyota,Roomy,2017,Automatic,Petrol,1000,10000,5050000
Toyota,Premio F EX G Superior,2018,Automatic,Petrol,1500,10000,10385000
Toyota,Premio G Superior,2019,Automatic,Petrol,1500,10000,11150000
Toyota,Vitz,2018,Automatic,Diesel,1000,10020,5200000
Toyota,Axio,2015,Automatic,Hybrid,1500,10100,5225000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,10200,10500000
Toyota,Vitz,2019,Automatic,Petrol,1000,10500,5375000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,10500,10390000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,10500,11100000
Toyota,Allion 260,2010,Automatic,Petrol,1500,10600,5940000
Toyota,Vitz Edition,2019,Automatic,Petrol,1000,10900,5865000
Toyota,Allion,2018,Automatic,Petrol,1500,10907,9850000
Toyota,Vitz,2018,Automatic,Petrol,1000,11000,5385000
Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,11000,5675000
